Card,Set,Mana Cost,Card Type,Color,Rarity,imageUrl,lowScore,highScore,review,color,set,power,toughness,text
Prying Blade,Ixalan,1,Artifact  - Equipment,Artifact,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379487/large/145715_200w.jpg?1505504740,1,,"A Treasure-generator that requires you to get through for damage is not something I'm interested in. Combining cheap, evasive creatures and expensive spells seems pretty bad, so this card ends up being a mix of two clashing strategies.",gold,xln,,,"Equipped creature gets +1/+0. Whenever equipped creature deals combat damage to a player, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."". Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Pterodon Knight,Ixalan,3W,Creature  - Human Knight,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379488/large/145716_200w.jpg?1505504742,2,,"You don't need very many Dinosaurs to make Pterodon Knight passable, as a 3/3 for 4 is already nearly good enough (or in the case of mediocre decks, definitely good enough). Just watch out for your Dinosaur being bounced or removed midcombat, as a Knight falling from the sky is not a pretty sight.",white,xln,3,3,Pterodon Knight has flying as long as you control a Dinosaur.
Queen's Agent,Ixalan,5B,Creature  - Vampire Scout,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379489/large/145796_200w.jpg?1505504744,2,,"This is an explorer that really wants to get that +1/+1 counter, especially since you don't really need lands once you've already hit six. I like this as high end, though it can be outclassed by Dinosaurs fairly easily. I also like adding more lifelinkers to the Vampire clan, as it gives you more and more incentives to run pump spells.",black,xln,3,3,"Lifelink. When Queen's Agent enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Queen's Bay Soldier,Ixalan,1B,Creature  - Vampire Soldier,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377543/large/144862_200w.jpg?1504650158,1.5,,"If you need a 2-drop Vampire, old Bay here has your back. It's not the spiciest addition to your deck, but it's playable if your curve is in need of help.",black,xln,2,2,
Queen's Commission,Ixalan,2W,Sorcery,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379490/large/145717_200w.jpg?1505504746,2,,"I'd want a couple of ways to take advantage of the tokens this makes before getting excited about it, though it's not unreasonable to just play Queen's Commission as a defensive measure if needed. Mass pump spells and raid cards both work well here, so be on the lookout for those.",white,xln,,,Create two 1/1 white Vampire creature tokens with lifelink.
Radiant Destiny,Rivals of Ixalan,2W,Enchantment,White,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421827/large/155643_200w.jpg?1515010965,3.5,,"In a heavy tribal deck, this is a great card. It's the most effective on Vampires, but any tribe of small creatures you can go deep on will work. Dinos don't need it quite as much, but it's still a solid bonus there. The city's blessing gives you so little that I don't even count it when evaluating the card.",white,rix,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). As Radiant Destiny enters the battlefield, choose a creature type. Creatures you control of the chosen type get +1/+1. As long as you have the city's blessing, they also have vigilance."
Raging Regisaur,Rivals of Ixalan,2RG,Creature  - Dinosaur,Gold,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421951/large/155728_200w.jpg?1515173833,3.5,,"While this may not measure up to the best Raging flavor text (that honor easily goes to Raging Goblin), a 4 mana 4/4 with a highly relevant attack trigger is awesome in any deck. This picks off x/1s, triggers enrage, and can even attack into a 5/5.",gold,rix,4,4,"Whenever Raging Regisaur attacks, it deals 1 damage to target creature or player."
Raging Swordtooth,Ixalan,3RG,Creature  - Dinosaur,Gold,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377544/large/144867_200w.jpg?1504650160,3.5,,"This is big, aggressively costed, and even triggers enrage, which I'm surprised those clowns on Limited Resources didn't mention. Take this and play it.",gold,xln,5,5,"Trample. When Raging Swordtooth enters the battlefield, it deals 1 damage to each other creature."
Raiders' Wake,Ixalan,3B,Enchantment,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379118/large/145605_200w.jpg?1505405662,1.5,,"While this can make things look grim for the opponent, it does take a fair amount of work to do its thing. You have to be in a position to attack the opponent each turn, while spending 4 mana on a card that doesn't affect the board at all. For each game that this dominates (which will happen), I suspect there will be multiple games where it does little to nothing. Overall I'm willing to try it as a finisher/high end in a low-curve raid deck, but I'm not high on its prospects.",black,xln,,,"Whenever an opponent discards a card, that player loses 2 life. Raid — At the beginning of your end step, if you attacked with a creature this turn, target opponent discards a card."
Rallying Roar,Ixalan,2W,Instant,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379491/large/145718_200w.jpg?1505504748,2.5,,"Not every deck is going to want Rallying Roar, but the bar is pretty low, thanks to the untapping effect. It's not that hard to get a card out of this, and in a go-wide deck it plays well both on offense and defense. It's great that you can attack all-out, and even if the opponent suspects a trick, they can't attack back without this punishing them.",white,xln,,,Creatures you control get +1/+1 until end of turn. Untap them.
Rampaging Ferocidon,Ixalan,2R,Creature  - Dinosaur,Red,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378357/large/145269_200w.jpg?1504901305,3.5,,"A 3/3 menace for 3 is big game, and the aggressive ability should favor you as a result. This races effectively, and really pressures the opponent early or late.",red,xln,3,3,"Menace. Players can't gain life. Whenever another creature enters the battlefield, Rampaging Ferocidon deals 1 damage to that creature's controller."
Ranging Raptors,Ixalan,2G,Creature  - Dinosaur,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378009/large/145254_200w.jpg?1504822917,3.5,,"This ranges from good to great, and it's very hard to imagine the Raptors doing worse than getting a 1-for-1. Most of the time it'll trade and pick you up a land, which is fantastic, and if you can trigger the ability yourself you will feel like a clever person indeed.",green,xln,2,3,"Enrage — Whenever Ranging Raptors is dealt damage, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library."
Raptor Companion,Both,1W,Creature  - Dinosaur,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379492/large/145720_200w.jpg?1505504750,2,,"You'll run Raptor Companion more often than not, both for the stats and because it's a cheap Dinosaur that enables a variety of tribal effects. That's a fine deal for 2 mana, so don't expect to float these late.",white,xln,3,1,
Raptor Companion,Both,1W,Creature  - Dinosaur,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421952/large/155741_200w.jpg?1515173836,3,,"I expect 2-drops to still be important, so this is about as good as it was in Ixalan. This one feels a little stranger to reprint, but it will play just fine.",white,rix,3,1,
Raptor Hatchling,Ixalan,1R,Creature  - Dinosaur,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378005/large/145255_200w.jpg?1504822908,3,,"Even without combos, this provides a solid roadblock on the ground, and will save you some damage before giving you a 3/3. Once you factor in how good it is against 2/1s and how sick it becomes with enrage combos, you have a nice little card on your hands.",red,xln,1,1,"Enrage — Whenever Raptor Hatchling is dealt damage, create a 3/3 green Dinosaur creature token with trample."
Ravenous Chupacabra,Rivals of Ixalan,2BB,Creature  - Beast Horror,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421800/large/155593_200w.jpg?1514937670,4.5,,"HAUMPH! This eats anything, with no respect for size, rarity, color, tribe, or anything. With zero work, this is a sick 2-for-1, and one that gives you tempo to boot. With a little effort, you can pick up some graveyard recursion cards and really take your opponent to town. This is in the running for best card in the set, while also being easily the best uncommon.",black,rix,2,2,"When Ravenous Chupacabra enters the battlefield, destroy target creature an opponent controls."
Ravenous Daggertooth,Ixalan,2G,Creature  - Dinosaur,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378006/large/145256_200w.jpg?1504822910,1.5,,"As someone who is also always ravenous, this gets a pass from me. It's not a bad card by any stretch, but a 3/2 that trades and gains you 2 life isn't a high priority. You also don't get the life when you need it, so it's not going to save you in many close games.",green,xln,3,2,"Enrage — Whenever Ravenous Daggertooth is dealt damage, you gain 2 life."
Reaver Ambush,Rivals of Ixalan,2B,Instant,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422050/large/155778_200w.jpg?1515181197,3.5,,"Vanquishing most things you care about is worth 3 mana, making Reaver Ambush premium removal.",black,rix,,,Exile target creature with power 3 or less.
Reckless Rage,Rivals of Ixalan,R,Instant,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421953/large/155712_200w.jpg?1515173838,2.5,,"If you have a lot of burly creatures, this goes way up in value, and is a quite powerful card indeed. Besides playing it on your 3-toughness creatures, this is good to cast in response to removal that would kill one of your creatures or after chump-blocking, making it flexible as well as powerful. Enrage is also a consideration, of course.",red,rix,,,Reckless Rage deals 4 damage to target creature you don't control and 2 damage to target creature you control.
Recover,Rivals of Ixalan,2B,Sorcery,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422051/large/155779_200w.jpg?1515181200,2,,"I suspect you'll want exactly 1 Recover in most black decks, as it is a little slow. The more cheap creatures (and good ones) you have, the more room you have for another copy, but beware of getting too bogged down with situational cards like this.",black,rix,,,Return target creature card from your graveyard to your hand. Draw a card.
